year,Region,Region_Desc,Management_Area,Number_Fish,Landed_Weight_lbs,Species_Code,Species_Name
1985,1,Southeastern Region,A,64123,939049,410,chinook_salmon
1985,1,Southeastern Region,A,669776,4383880,420,sockeye_salmon
1985,1,Southeastern Region,A,855866,7455153,430,coho_salmon
1985,1,Southeastern Region,A,8068192,24560693,440,pink_salmon
1985,1,Southeastern Region,A,1121229,10742626,450,chum_salmon
1985,1,Southeastern Region,B,57273,949680,410,chinook_salmon
1985,1,Southeastern Region,B,845106,4973842,420,sockeye_salmon
1985,1,Southeastern Region,B,827450,6222278,430,coho_salmon
1985,1,Southeastern Region,B,27547684,89248578,440,pink_salmon
1985,1,Southeastern Region,B,1262381,11306961,450,chum_salmon
1985,1,Southeastern Region,C,35457,436125,410,chinook_salmon
1985,1,Southeastern Region,C,305466,1893226,420,sockeye_salmon
1985,1,Southeastern Region,C,193374,1510965,430,coho_salmon
1985,1,Southeastern Region,C,8723321,26998291,440,pink_salmon
1985,1,Southeastern Region,C,275541,2353512,450,chum_salmon
1985,1,Southeastern Region,D,98770,1727943,410,chinook_salmon
1985,1,Southeastern Region,D,32417,202873,420,sockeye_salmon
1985,1,Southeastern Region,D,717443,5166367,430,coho_salmon
1985,1,Southeastern Region,D,7094502,22831801,440,pink_salmon
1985,1,Southeastern Region,D,614527,5132857,450,chum_salmon
1985,2,Central Region,E,43529,1198057,410,chinook_salmon
1985,2,Central Region,E,1450171,8752895,420,sockeye_salmon
1985,2,Central Region,E,1024553,10415128,430,coho_salmon
1985,2,Central Region,E,25129419,88273975,440,pink_salmon
1985,2,Central Region,E,1297472,10826793,450,chum_salmon
1985,2,Central Region,H,25097,694828,410,chinook_salmon
1985,2,Central Region,H,4338826,24232766,420,sockeye_salmon
1985,2,Central Region,H,676706,4897687,430,coho_salmon
1985,2,Central Region,H,1317545,4590112,440,pink_salmon
1985,2,Central Region,H,803487,6129973,450,chum_salmon
1985,2,Central Region,T,120412,2191157,410,chinook_salmon
1985,2,Central Region,T,23695300,136229510,420,sockeye_salmon
1985,2,Central Region,T,162822,1324352,430,coho_salmon
1985,2,Central Region,T,457,1798,440,pink_salmon
1985,2,Central Region,T,1068141,6835186,450,chum_salmon
1985,3,A-Y-K Region,W,74030,1256046,410,chinook_salmon
1985,3,A-Y-K Region,W,121218,848710,420,sockeye_salmon
1985,3,A-Y-K Region,W,382041,2859269,430,coho_salmon
1985,3,A-Y-K Region,W,111,405,440,pink_salmon
1985,3,A-Y-K Region,W,224753,1587602,450,chum_salmon
1985,3,A-Y-K Region,X,63,1106,410,chinook_salmon
1985,3,A-Y-K Region,X,521373,4528131,450,chum_salmon
1985,3,A-Y-K Region,Y,143969,2923142,410,chinook_salmon
1985,3,A-Y-K Region,Y,46198,340235,430,coho_salmon
1985,3,A-Y-K Region,Y,643354,4505943,450,chum_salmon
1985,3,A-Y-K Region,Z,19491,419331,410,chinook_salmon
1985,3,A-Y-K Region,Z,166,1155,420,sockeye_salmon
1985,3,A-Y-K Region,Z,21927,169195,430,coho_salmon
1985,3,A-Y-K Region,Z,3647,11458,440,pink_salmon
1985,3,A-Y-K Region,Z,134878,939534,450,chum_salmon
1985,4,Westward Region,K,4970,96106,410,chinook_salmon
1985,4,Westward Region,K,1842731,8734723,420,sockeye_salmon
1985,4,Westward Region,K,284166,2519566,430,coho_salmon
1985,4,Westward Region,K,7334825,26764307,440,pink_salmon
1985,4,Westward Region,K,430757,3399190,450,chum_salmon
1985,4,Westward Region,L,1877,44625,410,chinook_salmon
1985,4,Westward Region,L,916627,5415817,420,sockeye_salmon
1985,4,Westward Region,L,191162,1709637,430,coho_salmon
1985,4,Westward Region,L,160128,643731,440,pink_salmon
1985,4,Westward Region,L,22805,145276,450,chum_salmon
1985,4,Westward Region,M,30210,588718,410,chinook_salmon
1985,4,Westward Region,M,4743247,25833839,420,sockeye_salmon
1985,4,Westward Region,M,348632,2721395,430,coho_salmon
1985,4,Westward Region,M,4434160,18028534,440,pink_salmon
1985,4,Westward Region,M,2029532,14119298,450,chum_salmon
1986,1,Southeastern Region,A,61714,1029619,410,chinook_salmon
1986,1,Southeastern Region,A,521960,3632796,420,sockeye_salmon
1986,1,Southeastern Region,A,533769,4499158,430,coho_salmon
1986,1,Southeastern Region,A,353927,1094332,440,pink_salmon
1986,1,Southeastern Region,A,542592,5300952,450,chum_salmon
1986,1,Southeastern Region,B,53490,871100,410,chinook_salmon
1986,1,Southeastern Region,B,746072,4542984,420,sockeye_salmon
1986,1,Southeastern Region,B,1260510,9587783,430,coho_salmon
1986,1,Southeastern Region,B,43198415,144041946,440,pink_salmon
1986,1,Southeastern Region,B,1698337,14820803,450,chum_salmon
1986,1,Southeastern Region,C,26844,358316,410,chinook_salmon
1986,1,Southeastern Region,C,157143,990798,420,sockeye_salmon
1986,1,Southeastern Region,C,308598,2581278,430,coho_salmon
1986,1,Southeastern Region,C,1834791,6048739,440,pink_salmon
1986,1,Southeastern Region,C,317020,2694133,450,chum_salmon
1986,1,Southeastern Region,D,122057,2236950,410,chinook_salmon
1986,1,Southeastern Region,D,14647,74414,420,sockeye_salmon
1986,1,Southeastern Region,D,1299766,9174566,430,coho_salmon
1986,1,Southeastern Region,D,326026,999381,440,pink_salmon
1986,1,Southeastern Region,D,799123,6826322,450,chum_salmon
1986,2,Central Region,E,42128,1086579,410,chinook_salmon
1986,2,Central Region,E,1288213,7880559,420,sockeye_salmon
1986,2,Central Region,E,423591,4064874,430,coho_salmon
1986,2,Central Region,E,10516575,32044388,440,pink_salmon
1986,2,Central Region,E,1684743,14065187,450,chum_salmon
1986,2,Central Region,H,40052,1033820,410,chinook_salmon
1986,2,Central Region,H,5026933,28669984,420,sockeye_salmon
1986,2,Central Region,H,775438,5007410,430,coho_salmon
1986,2,Central Region,H,2709251,9646018,440,pink_salmon
1986,2,Central Region,H,1217505,9087719,450,chum_salmon
1986,2,Central Region,T,93716,1745722,410,chinook_salmon
1986,2,Central Region,T,15776065,95817057,420,sockeye_salmon
1986,2,Central Region,T,182075,1223792,430,coho_salmon
1986,2,Central Region,T,401287,1411645,440,pink_salmon
1986,2,Central Region,T,1227135,7978359,450,chum_salmon
1986,3,A-Y-K Region,W,44971,762435,410,chinook_salmon
1986,3,A-Y-K Region,W,141952,1015690,420,sockeye_salmon
1986,3,A-Y-K Region,W,736331,4713029,430,coho_salmon
1986,3,A-Y-K Region,W,16559,57498,440,pink_salmon
1986,3,A-Y-K Region,W,349086,2363560,450,chum_salmon
1986,3,A-Y-K Region,X,101,1657,410,chinook_salmon
1986,3,A-Y-K Region,X,261436,2271320,450,chum_salmon
1986,3,A-Y-K Region,Y,96789,1962244,410,chinook_salmon
1986,3,A-Y-K Region,Y,46756,296497,430,coho_salmon
1986,3,A-Y-K Region,Y,790003,5496727,450,chum_salmon
1986,3,A-Y-K Region,Z,6395,133161,410,chinook_salmon
1986,3,A-Y-K Region,Z,233,1765,420,sockeye_salmon
1986,3,A-Y-K Region,Z,35624,245568,430,coho_salmon
1986,3,A-Y-K Region,Z,,133319,440,pink_salmon
1986,3,A-Y-K Region,Z,146917,1011824,450,chum_salmon
1986,4,Westward Region,K,4381,66901,410,chinook_salmon
