Year,Flatfish_mt,Pcod_mt,Wpollock_mt,Rockfish_mt,Sablefish_mt,Phalibut_mt,Pherring_mt,KingCrab_mt,Shrimp_mt,TannerCrab_mt,Flatfish_TargetCommercialRetained_mt,Flatfish_NoncommercialOrBycatchDiscard_mt,Pcod_TargetCommercialRetained_mt,Pcod_NonCommercialOrBycatchDiscard_mt,Wpollock_TargetCommercialRetained_mt,Wpollock_NoncommercialOrBycatchDiscard_mt,Rockfish_TargetCommercialRetained_mt,Rockfish_NoncommercialOrBycatchDiscard_mt,Sablefish_TargetCommercialRetained_mt,Sablefish_NoncommercialOrBycatchDiscard_mt,Total_FMPTargetCommercialRetained_mt,Total_FMPNoncommercialOrBycatchDiscard_mt,Phalibut_TargetCommercialLanding_netlb,Phalibut_TargetCommercialLanding_mt,Phalibut_NoncommercialOrBycatchLand_netlb,Phalibut_NoncommercialOrBycatchLand_mt,Pherring_TargetCommercialLanding_netlb,Pherring_TargetCommercialLanding_mt,Pherring_NoncommercialOrBycatchLand_netlb,Pherring_NoncommercialOrBycatchLand_mt,KingCrab_TargetCommercialLanding_netlb,KingCrab_TargetCommercialLanding_mt,KingCrab_NoncommercialOrBycatchLand_netlb,KingCrab_NoncommercialOrBycatchLand_mt,Shrimp_TargetCommercialLanding_netlb,Shrimp_TargetCommercialLanding_mt,Shrimp_NoncommercialOrBycatchLand_netlb,Shrimp_NoncommercialOrBycatchLand_mt,TannerCrab_TargetCommercialLanding_netlb,TannerCrab_TargetCommercialLanding_mt,TannerCrab_NoncommercialOrBycatchLand_netlb,TannerCrab_NoncommercialOrBycatchLand_mt,Total_NonFMPTargetCommercialLanding_netlb,Total_NonFMPTargetCommercialLanding_mt,Total_NonFMPNoncommercialOrBycatchLand_netlb,Total_NonFMPNoncommercialOrBycatchLand_mt
1991,7340,14514.5,13490.68,16172.05,1002.69,18437.84122,23105.1269,1035.383161,1396.626097,1293.299654,2358.28,4981.72,10912.22,3602.28,8826.68,4664,8406.41,7765.64,777.14,225.55,31280.73,21239.19,38541453,17482.09475,2107062,955.7464667,50720324,23006.3332,217803,98.79369838,403687,183.1091937,1878944,852.2739668,3009207,1364.952222,69829,31.67387577,2830162,1283.738842,21078,9.560812176,95504833,43320.22821,4294716,1948.04882
1992,31777.07,89814,87354.45,22484.28,25741.17,20165.78815,31395.65332,923.7850136,1145.248132,1418.731903,11323.38,20453.69,72821.65,16992.35,75791.51,11562.94,12489.1,9995.18,20208.87,5532.3,192634.51,64536.46,41299301,18733.03254,3158688,1432.755607,68685104,31155.01369,530520,240.6396278,191303,86.77351038,1845296,837.0115032,2432392,1103.313552,92450,41.9345804,3108852,1410.150396,18919,8.581507048,115716952,52488.28369,5645873,2560.922826
1993,36038.49,56237.37,111819.65,17416.5,28385.02,17975.02406,18324.12253,743.5978596,1219.568728,998.5641907,12772.7,23265.79,46860.75,9376.62,98556.67,13262.98,9773.1,7643.4,21893.64,6491.38,189856.86,60040.17,37063182,16811.56285,2564995,1163.461212,40193083,18231.2609,204725,92.8616222,301194,136.6191888,1338160,606.9786707,2592400,1175.891901,96291,43.67682727,2186387,991.7276521,15072,6.836538624,82336246,37347.0625,4219243,1913.814871
1994,35476.28,52978.18,98995.12,14240.47,23209.03,17136.894,10155.43636,938.4705082,1381.126859,1064.381297,9243.02,26233.26,42824.13,10154.05,94132.77,4862.35,8963.51,5276.96,19868.57,3340.46,175032,49867.08,34592549,15690.90349,3187866,1445.990515,21820735,9897.71083,568188,257.7255313,293538,133.1464885,1775437,805.3240197,2985983,1354.418001,58883,26.70885774,2289865,1038.664445,56696,25.71685203,61982670,28114.84325,5647070,2561.465775
1995,29495.77,74347.51,70729.71,20007.91,21522.41,12366.78445,8282.804015,1179.488885,1593.465974,194.9044001,9517.68,19978.09,63220.25,11127.26,64231.98,6497.73,12918,7089.91,18118.6,3403.81,168006.51,48096.8,25571883,11599.20155,1692232,767.5828973,17988403,8159.395694,272069,123.4083218,403411,182.9840023,2196919,996.504883,3477961,1577.575286,35033,15.89068854,407592,184.8804705,22099,10.02392961,47849250,21704.03701,4218352,1913.41072
1996,49100.67,65565.13,47776.56,19392.33,18448.57,13225.92444,13938.59504,999.736726,1365.063352,404.7532958,20795.03,28305.64,58850.55,6714.58,44295.09,3481.47,12093.26,7299.07,15637.79,2810.78,151671.72,48611.54,27756948,12590.32956,1401248,635.5948828,30341508,13762.6653,387859,175.9297395,450583,204.3808441,1753461,795.3558819,2980084,1351.742262,29368,13.32108986,824274,373.8840922,68055,30.86920356,62353397,28283.00205,3639991,1651.070798
1997,32920.51,74144.96,88283.72,20030.43,16344.16,18722.0157,20711.22209,901.6587958,1434.176711,145.3680713,13279.69,19640.82,60908.73,13236.23,82088.81,6194.91,13781.05,6249.38,13546.36,2797.8,183604.64,48119.14,38582311,17500.62761,2692702,1221.388086,45310670,20552.55743,349796,158.6646672,380873,172.7609458,1606946,728.89785,3124126,1417.078561,37695,17.09815044,304493,138.1155889,15989,7.252482488,87702473,39781.14013,4703128,2133.301236
1998,20518.12,65159.34,125918.59,19994.07,16604.15,19975.8465,14635.2552,1173.643445,1050.061398,168.3098475,8405.77,12112.35,57033.7,8125.64,123407.08,2511.51,14136.97,5857.1,13121.14,3483.01,216104.66,32089.61,41111131,18647.68013,2928108,1328.166364,31855042,14449.19221,410199,186.0629848,247071,112.069429,2340372,1061.574016,2292600,1039.905019,22391,10.15637847,369475,167.5909042,1585,0.71894332,75875319,34416.4377,5702655,2586.678687
1999,17695.64,74301,96688.64,26634.88,15930.36,22281.41744,12012.14445,1130.459219,887.2418277,160.4994469,7826.52,9869.12,63531.7,10769.3,92804.74,3883.9,18785.5,7849.38,11848.7,4081.66,194797.16,36453.36,45826064,20786.33602,3296093,1495.081416,25540302,11584.87666,941965,427.2677883,661678,300.1318474,1830560,830.3273715,1939244,879.6255644,16791,7.616263272,350078,158.7925802,3763,1.706866696,74317366,33709.76268,6089172,2761.999706
2000,36074.24,57232.23,69628.86,23502.4,18570.86,20498.66798,6155.531471,903.5883762,667.6057774,130.1133188,19001.5,17072.74,48795.17,8437.06,66806.69,2822.17,16341.83,7160.57,13322.93,5247.93,164268.12,40740.47,40818453,18514.92373,4373411,1983.744242,13262654,6015.833753,307981,139.6977178,559287,253.6881089,1432786,649.9002673,1452441,658.8156181,19379,8.790159368,283734,128.6994725,3117,1.413846264,56376569,25571.96069,6136674,2783.546233
2001,24057.36,47983.27,75102.66,21698.74,14816.09,22279.29055,13102.6776,842.6464766,431.4512673,463.785573,10729.04,13328.32,35741.9,12241.37,69242.8,5859.86,15948.27,5750.47,11440.71,3375.38,143102.72,40555.4,45249441,20524.78444,3868027,1754.506103,28494893,12925.05551,391590,177.6220913,827477,375.3369474,1030242,467.3095293,920869,417.6988114,30319,13.75245585,1011912,458.9951879,10561,4.790385112,76504592,34701.87089,5330739,2417.980564
2002,38715.86,38531.44,52353.9,23832.81,14593.55,23752.6449,11619.04258,722.4804304,472.0450297,266.3977567,20007.6,18708.26,34547.55,3983.89,50101.43,2252.47,17522.02,6310.79,11270.41,3323.14,133449.01,34578.55,48252138,21886.78378,4113523,1865.861125,24520676,11122.38247,1094949,496.6601068,841360,381.6341651,751438,340.8462653,1018178,461.8373954,22504,10.20763437,581708,263.8580951,5599,2.539661608,75214060,34116.4959,5988013,2716.114793
