Year,Wpollock_mt,Pcod_mt,Flatfish_mt,Sablefish_mt,Rockfish_mt,Pherring_mt,Phalibut_mt,KingCrab_mt,TannerCrab_mt,Shrimp_mt,Sum_salmon_ mt,Sum_ groundfish_ mt,Sum_ crustaceans_ mt,Wpollock,Pcod,Other_flatfish,Arrowtooth_flounder,Sablefish,Slope_rockfish,Pelagic_shelf_rockfish,Demersal_shelf_rockfish,Thornyhead,Rockfish,Atka_mackerel,Other_species,Other_species,Sum_All Species,Pherring_noSE,Pherring_SE,Phalibut_3A3B,Phalibut_2C,King_mt,Tanner_mt,Shrimp_mt,Dungeness_mt,Chinook_mt,Sockeye_mt,Coho_mt,Pink_mt,Chum_mt,Total_catch_mt,Total_catch_kg,Total_catch_10^8kg,Mikes_TL,Mikes_PPR,Paulys_FIB_Index
1956,NA,NA,NA,1391,0,39089,27753,1915,0,1498,105383,29143,3412,NA,NA,NA,NA,1391,NA,NA,NA,NA,0,NA,NA,0,1391,18388,20701,18999,8754,1915,0,1498,0,2284,19559,4847,52066,26628,177028,200000000,1.77,0,1966976758,0
1957,NA,NA,NA,2759,0,53271,25683,3033,0,1066,73432,28442,4099,NA,NA,NA,NA,2759,NA,NA,NA,NA,0,NA,NA,0,2759,29183,24088,18292,7391,3033,0,1066,0,2524,10821,5198,25859,29030,159245,200000000,1.59,0,1769383585,-0.05
1958,NA,NA,NA,797,0,42715,27448,3287,0,3464,87162,28245,6751,NA,NA,NA,NA,797,NA,NA,NA,NA,0,NA,NA,0,797,5149,37566,20692,6756,3287,0,3464,0,2724,9338,5115,48405,21580,164873,200000000,1.65,0,1831916730,-0.03
1959,NA,NA,NA,1101,0,50717,32401,2797,0,3801,52830,33501,6599,NA,NA,NA,NA,1101,NA,NA,NA,NA,0,NA,NA,0,1101,3444,47273,24539,7862,2797,0,3801,0,3191,10526,4732,21185,13196,143646,100000000,1.44,0,1596067840,-0.09
1960,NA,NA,NA,2142,0,37033,31711,12706,0,2969,71369,33853,17271,NA,NA,NA,NA,2142,NA,NA,NA,NA,0,NA,NA,0,2142,0,37033,24040,7671,12706,0,2969,1596,2542,12145,4550,31625,20507,159526,200000000,1.6,0,1772510076,-0.05
1961,NA,NA,NA,897,32000,22335,31794,15013,0,6938,76354,48691,23169,NA,NA,NA,NA,897,16000,NA,NA,NA,16000,NA,NA,0,16897,13,22322,24382,7412,15013,0,6938,1218,1857,12660,4171,41130,16536,170549,200000000,1.71,0,1894992682,-0.02
1962,NA,NA,NA,731,130000,15613,35826,18112,0,7503,122734,101557,28873,NA,NA,NA,NA,731,65000,NA,NA,NA,65000,NA,NA,0,65731,56,15557,27839,7987,18112,0,7503,3257,1785,13157,6431,81692,19669,268777,300000000,2.69,0,2986410363,0.18
1963,NA,NA,NA,2809,272600,14135,33367,20094,0,6001,93308,172476,29898,NA,NA,NA,NA,2809,136300,NA,NA,NA,136300,NA,NA,0,139109,0,14135,27189,6178,20094,0,6001,3803,2045,9098,6366,62923,12877,309816,300000000,3.1,0,3442402262,0.24
1964,1126,196,1028,2457,486770,2571,28747,25385,0,3237,123976,276939,33239,1126,196,1028,NA,2457,243385,NA,NA,NA,243385,NA,NA,0,248192,796,1775,24262,4485,25385,0,3237,4617,2633,11892,8122,80940,20389,436725,400000000,4.37,0,4852505074,0.39
1965,2749,599,4727,3458,697196,2528,30764,49510,0,7606,75616,390895,60679,2749,599,4727,NA,3458,348598,NA,NA,NA,348598,NA,NA,0,360131,628,1900,23483,7281,49510,0,7606,3563,2249,16099,6511,39760,10996,529717,500000000,5.3,0,5885742049,0.48
1966,8932,1376,4937,5178,401498,4889,30645,43729,0,12647,111415,251817,58604,8932,1376,4937,NA,5178,200749,NA,NA,NA,200749,NA,NA,0,221172,2692,2197,23382,7263,43729,0,12647,2228,2393,17249,5975,67038,18760,426725,400000000,4.27,0,4741389623,0.38
1967,6276,2225,4552,6143,240020,4524,27095,27552,52,18358,39875,166301,50942,6276,2225,4552,NA,6143,120010,NA,NA,NA,120010,NA,NA,0,139206,1780,2744,21419,5676,27552,52,18358,4980,2303,11608,4492,11711,9761,261643,300000000,2.62,0,2907141133,0.17
1968,6164,1046,3393,15049,200340,3494,23113,13316,1772,16834,120816,148935,37095,6164,1046,3393,NA,15049,100170,NA,NA,NA,100170,NA,NA,0,125822,1847,1647,19426,3687,13316,1772,16834,5173,2457,14560,8247,78358,17195,310341,300000000,3.1,0,3448229270,0.24
1969,17553,1335,2630,19376,144878,4988,27283,7432,3954,20556,74347,140617,36064,17553,1335,2630,NA,19376,72439,NA,NA,NA,72439,NA,NA,0,113333,2589,2399,21657,5626,7432,3954,20556,4121,2446,15419,3076,45647,7759,256016,300000000,2.56,0,2844618616,0.16
1970,9343,1805,3772,25145,89836,7713,26798,6913,4769,30956,104806,111782,46614,9343,1805,3772,NA,25145,44918,NA,NA,NA,44918,NA,NA,0,84983,4698,3015,21147,5651,6913,4769,30956,3976,2470,20432,4723,57112,20069,270915,300000000,2.71,0,3010165785,0.18
1971,9458,523,2370,25630,155554,5291,22014,6873,7563,39165,85827,137772,55243,9458,523,2370,NA,25630,77777,NA,NA,NA,77777,NA,NA,0,115758,1902,3389,18027,3987,6873,7563,39165,1642,2609,12541,4545,43923,22210,284133,300000000,2.84,0,3157030029,0.21
1972,34081,3513,8954,37502,149436,7147,19535,9002,12257,35714,67984,178303,59411,34081,3513,8954,NA,37502,74718,NA,NA,NA,74718,NA,NA,0,158768,1884,5263,16048,3487,9002,12257,35714,2438,2268,12224,5659,28359,19474,312846,300000000,3.13,0,3476068329,0.25
1973,36836,5963,20013,28693,105946,14691,14954,8557,21419,64801,46872,159432,97455,36836,5963,20013,NA,28693,52973,NA,NA,NA,52973,NA,NA,0,144478,8696,5995,11349,3605,8557,21419,64801,2678,2600,9060,3880,17620,13712,318450,300000000,3.19,0,3538335246,0.25
1974,61880,5182,9766,28335,95960,16205,8195,12810,20879,48526,NA,NA,83600,61880,5182,9766,NA,28335,47980,NA,NA,NA,47980,NA,NA,0,153143,9046,7159,5020,3175,12810,20879,48526,1386,2627,8850,5253,15752,7957,301583,300000000,3.02,0,3350919513,0.23
1975,59512,6745,5532,26095,88262,16335,9956,12120,13439,47060,NA,NA,73821,59512,6745,5532,NA,26095,44131,NA,NA,NA,44131,NA,NA,0,142015,9293,7042,6424,3532,12120,13439,47060,1202,2261,7111,2642,23302,6386,283829,300000000,2.84,0,3153658018,0.21
1976,86527,6764,6089,27733,93936,14606,9937,8592,21675,51886,NA,NA,82802,86527,6764,6089,NA,27733,46968,NA,NA,NA,46968,NA,NA,0,174081,6747,7859,6803,3134,8592,21675,51886,649,2046,16208,4072,46005,11627,361384,400000000,3.61,0,4015373570,0.31
1977,112089,2267,16722,17140,46906,11217,7281,6494,17224,54150,NA,NA,78351,112089,2267,16722,NA,17140,23453,NA,NA,0,23453,19455,4642,24097,176313,5526,5691,5475,1806,6494,17224,54150,483,2283,17216,4545,52880,13527,383068,400000000,3.83,0,4256314480,0.34
1978,90822,12190,15198,8866,16352,9054,8878,6908,23801,27486,NA,NA,60903,90822,12190,15198,NA,8866,8176,NA,NA,0,8176,19588,5990,25578,141242,4052,5002,6401,2477,6908,23801,27486,2708,3292,21860,8159,96043,12716,381736,400000000,3.82,0,4241506177,0.33
1979,98508,14904,13928,10350,19842,11835,9706,8676,21041,22255,NA,NA,53879,98508,14904,13928,NA,10350,9921,NA,NA,0,9921,10949,4115,15064,151726,6606,5229,7093,2613,8676,21041,22255,1906,3013,25235,9498,99306,10702,385848,400000000,3.86,0,4287200389,0.34
1980,110100,35345,15846,8543,27644,18064,9442,11598,14460,12373,NA,NA,NA,110100,35345,15846,NA,8543,12471,NA,NA,1351,13822,13166,5604,18770,189260,10692,7372,7564,1878,11598,14460,12373,1868,2651,36890,8650,126229,23366,468017,500000000,4.68,0,5200188933,0.42
1981,139168,36131,14864,9917,27048,25060,11204,12445,9780,12924,NA,NA,NA,139168,36131,14864,NA,9917,12184,NA,NA,1340,13524,18727,7145,25872,220746,17574,7486,8858,2346,12445,9780,12924,6004,2500,34790,9780,115134,30652,509751,500000000,5.1,0,5663902272,0.46
1982,168693,29465,9278,8556,17798,18113,10341,4809,10458,9692,NA,NA,NA,168693,29465,9278,NA,8556,7991,NA,120,788,8899,6760,2350,9110,227241,10527,7586,8311,2030,4809,10458,9692,6412,2908,42911,15513,126746,32341,514245,500000000,5.14,0,5713835399,0.46
1983,215567,36540,12662,9002,16622,14487,12159,33,11471,5922,NA,NA,NA,215567,36540,12662,NA,9002,7405,NA,176,730,8311,12260,2646,14906,284728,6020,8467,8485,3674,33,11471,5922,4513,3184,48851,10766,112989,26196,547558,500000000,5.48,0,6083982370,0.49
1984,307400,23896,6914,10230,10444,18536,14952,18,7678,2670,NA,NA,NA,307400,23896,6914,NA,10230,4452,NA,563,207,5222,1153,1844,2997,355506,9590,8946,11560,3392,18,7678,2670,3968,2569,40595,13257,155188,35188,651277,700000000,6.51,0,7236413075,0.57
1985,284823,14428,3078,12479,3314,23068,17585,23,6746,1957,NA,NA,NA,284823,14428,3078,NA,12479,1087,NA,489,81,1657,1848,2343,4191,318808,12111,10957,12132,5453,23,6746,1957,3556,2550,51122,16728,170299,29551,643842,600000000,6.44,0,7153796729,0.56
1986,93567,25012,2551,21614,8668,24318,25037,30,6122,1541,NA,NA,NA,93567,25012,2551,NA,21614,2981,NA,491,862,4334,4,401,405,147479,15549,8769,18653,6384,30,6122,1541,2389,2629,49513,17841,144504,34642,456048,500000000,4.56,0,5067203503,0.41
1987,69536,32939,9925,26325,15448,24674,24557,31,3632,1272,NA,NA,NA,69536,32939,9925,NA,26325,4981,NA,778,1965,7724,1,253,254,146702,15627,9047,17972,6585,31,3632,1272,3838,2880,53866,10147,85411,28074,385085,400000000,3.85,0,4278718518,0.34
1988,65625,33802,10275,29903,36318,29833,29040,22,3604,1236,NA,NA,NA,65625,33802,10275,NA,29903,13779,1086,508,2786,18159,NA,647,647,158411,16804,13029,21919,7121,22,3604,1236,4329,2620,48888,12410,96451,37354,424198,400000000,4.24,0,4713306423,0.38
