year,walleye.pollock,pacific.cod,other.flatfish,arrowtooth.flounder,sablefish,slope.rockfish,pelagic.shelf.rockfish,demersal.shelf.rockfish,thornyheads,rockfish,atka.mackerel,other.species,pacific.herring,pacific.herring.se,pacific.halibut,pacific.halibut.se,king.crab,tanner.crab,shrimp,dungeness,chinook,sockeye,coho,pink,chum
1956,,,,,1391.000,,,,,0.000,,,18388.000,20701.000,18999.000,8754.000,1915.000,0.000,1498.000,0.000,2284.000,19559.000,4847.000,52066.000,26628.000
1957,,,,,2759.000,,,,,0.000,,,29183.000,24088.000,18292.000,7391.000,3033.000,0.000,1066.000,0.000,2524.000,10821.000,5198.000,25859.000,29030.000
1958,,,,,797.000,,,,,0.000,,,5149.000,37566.000,20692.000,6756.000,3287.000,0.000,3464.000,0.000,2724.000,9338.000,5115.000,48405.000,21580.000
1959,,,,,1101.000,,,,,0.000,,,3444.000,47273.000,24539.000,7862.000,2797.000,0.000,3801.000,0.000,3191.000,10526.000,4732.000,21185.000,13196.000
1960,,,,,2142.000,,,,,0.000,,,0.000,37033.000,24040.000,7671.000,12706.000,0.000,2969.000,1596.000,2542.000,12145.000,4550.000,31625.000,20507.000
1961,,,,,897.000,16000.000,,,,16000.000,,,13.000,22322.000,24382.000,7412.000,15013.000,0.000,6938.000,1218.000,1857.000,12660.000,4171.000,41130.000,16536.000
1962,,,,,731.000,65000.000,,,,65000.000,,,56.000,15557.000,27839.000,7987.000,18112.000,0.000,7503.000,3257.000,1785.000,13157.000,6431.000,81692.000,19669.000
1963,,,,,2809.000,136300.000,,,,136300.000,,,0.000,14135.000,27189.000,6178.000,20094.000,0.000,6001.000,3803.000,2045.000,9098.000,6366.000,62923.000,12877.000
1964,1126.000,196.000,1028.000,,2457.000,243385.000,,,,243385.000,,,796.000,1775.000,24262.000,4485.000,25385.000,0.000,3237.000,4617.000,2633.000,11892.000,8122.000,80940.000,20389.000
1965,2749.000,599.000,4727.000,,3458.000,348598.000,,,,348598.000,,,628.000,1900.000,23483.000,7281.000,49510.000,0.000,7606.000,3563.000,2249.000,16099.000,6511.000,39760.000,10996.000
